sentiments,cleaned_review
positive,absolutely love the sound
neutral,i can hear everything even when my game is on loud do not buy for noise cancelling rated stars for false advertising
positive,pretty solid keyboard quiet and nice feel to it seems to be constructed well 
neutral,i have one and my grandson liked it so got him one for his birthday
positive,i got this to better hear players in ps titles such as vigor apex and dayz it functions far better than my old headphones the sound of my neighborhood is less distracting with the noise cancelation and the headphones fit me much better and more comfortably 
neutral,the roller on top of the mouse quits working or falls down in the mouse the colors and lights are fun but the mouse itself is defective have had at this point and will not buy another 
positive,i bought and we love them
neutral,quality is ok
positive,honestly it far less heavy than would ve liked don feel as though this will be adequate for long term gaming but it ll be alright for web surfing or writing it also fairly small then again have pretty large hands for the price couldn ask for much more but do think it important to inform people of its cons regardless of how cheap it is also it does work with macbook air despite the one star reviews you have to connect the receiver to the adapter it takes good bit of force and then plug it into the computer wish the instructions could ve been more clear about that but it whatever 
positive,i was wary of buying no name brand mouse but it turned out to be even better than expected it super sleek and looks great with the leds it also functions very well the clicks are almost silent if you ve used cheap mouse that has loud clicks you ll know what talking about haha and it very reactive use it for light gaming and it perfect haven even had to charge it yet which is amazing absolutely worth it for the price 
negative,battery dies very quickly not impressed sellers keep harassing me to delete my review no way scammers buy the below mouse instead it works great wisfox wireless mouse for laptop ergonomic 
positive,i purchased one of these before and it was really nice like the way it looks and feels it pretty accurate and has good sensitivity and this one got card in it that said get this one for free don know how cuz can read chinese and the instructions are in chinese 
neutral,it good
positive,honestly feels bit on the cheap side and compared to other similar makes the main difference being led lighting so it adds wow factor to it clicking is also smooth and feels nice and the top down view is pleasing the lighting itself is mostly smooth but blotchy at some points where the color is abrupt rather than seamless transition performance wise it does the job but ergonomically doesn feel as form fitting as gaming mouse really use this as backup work mouse or home mouse where its just to surf the web also the cursor sometimes randomly jumps first time this has happened on mouse so it seems like they really cut costs and marked up the price if were to guess the price if seen the product without price tag probably say its about bucks 
positive,good for music and gaming it drowns out everything around you love it
positive,i have bought close to sets of headphones for doing my gaming channel on youtube and these are by far the absolute best finally
neutral,i used it for my school chrome book and all of sudden it fell of my desk and it broke 
neutral,if you are like me and have trouble using usb to usb converters somehow always end up with flaky ones that don maintain connection be warned that this mouse uses the same method to support usb it comes with usb and usb adapter however you have to plug the usb into the usb adapter to use it you cannot use the usb adapter on its own which means have long double adapter sticking out of my computer just waiting to get knocked off had known up front that the usb adapter required the usb adapter to work would not have made this purchase 
negative,it fancy looking keyboard that doesn break your bank rgb lights are well illuminated and keys are ok too keys could be little noisy the biggest problem is you can use the left ctrl and shift buttons together even though the battery life is reasonable the keyboard doesn have proper battery indicator that tells you how much charge left so you might get frustrated when the keyboard suddenly decides to stop in the middle of the work 
positive,probably the best bluetooth speaker on the market for the price paid it slaps af the battery life is wassup still haven dunked it in water but it nice to know that if it does get wet it ll be alright would definitely buy this bad boy again 
positive,it is very nice keyboard the feel is soft yet mechanical battery charge time seems sufficient and the rgb is perfect brightness and at did not expect any color brightness control so that is sufficient in my eyes as well it needs better feeling charging port it does not feel like it connects or goes in all the way the cord is severe charging restriction in other words if you use it to charge phone the phone will charge in slow charge mode but maybe it is on purpose to keep the batteries from overheating suggest making sure to use only that cord for it the keys are little squishy for extended use but over time and use suspect that will wear away and leave light feeling touch which will be decent for gaming and typing 
neutral,scroll button stopped working within weeks
positive,a pretty nice headset for anyone trying to go for one cheap 
positive,i initially wrote bad review about this keyboard thought it stopped working it turns out someone removed the usb receiver from my hub my computer is in dark spot in the basement so didn notice the klim keyboard is awesome great battery life quiet and feels amazing 
positive,comfortable gaming headset to wear and feels very sturdy compared to others ve tried my year old is happy and can chat away with friends at reasonable volume the look is pretty slick too for the price 
positive,kind of bummed worked great for months and now won charge so not useable kid isn hard gamer so didn use but once or twice week maybe others had better luck but it no go for us 
positive,i was looking for replacement mouse as my old mouse stopped working properly when ordered this first received mouse that did not work properly it went into sleep mode every few seconds requiring me to switch it off and back on in order to work again for few seconds contacted the company and they sent me replacement which works perfectly 
positive,great product great customer service great battery life it cool and amazing keyboard
positive,i use it lot had for over month no issues have gold and it cute very easy to maneuver 
positive,use the charger cable in edge of the box inside thin black box that looks like spacer do not use an apple macbook charger with its usb cable does not charge when connected to apple macbook charger with its usb cable sound quality and volume are great this speaker does barely squeeze into my bicycle bag that mounts to the handbag on my bike but after put the speaker then pack extra bubble wrap inside the bag because the speaker to round and tends to rotate while ride my bicycle when the speaker moves so the buttons are in the down position and hit bump on the trail then the speaker turns off 
neutral,i bought this mouse in june month later the wheel stopped working like the gold color and the smoothness of it but the wheel is something that would consistently need to use 
neutral,charging problems just got this months ago and is not charging
neutral,cord way too short sound comes and goes sad
positive,someone in my family asked for this product for christmas gift so after reading the great reviews bought it she used it for one week and it needed charged after that it wouldn hold charge for more than minutes after she told me this contacted the seller they immediately responded and offered to send me another one if was willing to send back the defective one am completely convinced that the one received just had defect they were so easy to work with and the replacement works perfectly 
positive,good value for wireless keyboard
neutral,was little squirrely to use
neutral,the scroll broke within hours of taking out of package can still use it to open tabs but can scroll 
negative,just stopped working after the nd charge cycle it worked well at first but then just stopped working waste of money 
positive,this headset is super comfortable use it too listen to music great headset for the money 
positive,i love this mouse wish it did come with battery option but still love it 
neutral,works great don waste your money on turtle beach
neutral,it no longer working 
positive,works as expected love this mouse 
positive,i really love this mouse bought it for my office to get rid of the cords the colors are nice and like that it goes to sleep when not in use ve gotten many compliments on it 
neutral,only downside to this keyboard is that the enter key is too damn small keep on pressing but other then that keyboard is fine
neutral,does not work
neutral,this is quick responsive and easy to use mouse it can be run normally or with it built in lights sleeps after short period of unuse but wakes with single click micro usb charging cable included charges the mouse in no time light is on when charging and turns off when done with the sleep mode the battery lasts longer than expected 
positive,i like the color and the changing light the sleep mode is nice and saves battery life when you are not moving the mouse 
positive,fantastic sound and small enough to take anywhere
positive,i enjoy the bengoo stereo gaming headset mostly for the noise cancellation and the comfy ear cushion makes hearing the game much better as my were ears are less tired after long gaming session 
positive,loved it
positive,the sound is really impressive on this headset and like the sturdy mic rather than bendy one you can really complain for the price but the mic is mid it isn like razer mic duh but it picks up your voice just find with minimal background noise it comparable to my logitech webcam mic hope this helps 
positive,well the color is great but it stopped working after two uses tryed to charge it and it doesn even take charge won try anything from this vendor again 
positive,i love this mouse use it on multiple devices and it uploads fast like it how sleep mode would kick in if you haven used it in while however it is easy to wake up as well like it how you can switch between solid red to rainbow colors its quite and moves smoothly did mention love it 
positive,connects easily super cute 
neutral,it worked good at first but it will not respond anymore even after being fully charged waste of money it cute though good thing it stopped working right away so can still return it 
positive,it started out great for about days now it works for minutes and won move the cursor around 
neutral,this is almost decent keyboard unfortunately some keys are in very unusual positions for example single apostrophe should be directly left of enter key and backslash should be directly above it this may not be important for casuals but this is anathema for coders didn use it long enough to test battery life 
positive,it was great until it stopped working won even turn on charged it of course and still doesn work at all time window to return passed really not what you expect from amazon ll be taking steps to get my money back you can bet on that don care how cheap it was 
negative,i bought pairs one broke within one day microphone broke off and the other set just sucks
positive,honestly love them and it not even for me they are just couple of dollars more than usual headphones but buy these instead the sound is so clear and the noise cancellation is good bought these for my fianc for gaming and he loves them 
neutral,no complaints
positive,pretty good quality for the price was very surprised they re not as good as turtle beaches but there are half the price and pretty close
positive,the mouse is slim which is nice it seems to be made of thinner plastic which feels flimsy but over all it pretty good for the price
positive,great works good
neutral,worked beautifully for month and then the roller ball broke guess you get what you pay for 
neutral,money well spent
positive,love that its rechargable and the led lights 
positive,great speaker great sound for the size cold be little louder
neutral,the mouse cursor jumps around and doesn stay where it supposed to 
positive,not extremely loud but bass is good pair and its worth the buy 
positive,wife loves it she uses it daily with no issues led is nice and bright would be nice to add larger capacity battery 
